split,contract_title,paragraph_index,category,present,answer_count,answer_starts_raw,answer_texts
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Minimum Commitment,1,5,"[7057, 7892, 8395, 10026, 38061]","[""In                            order  to  maintain  the  exclusive  rights  to sell,                            lease, distribute and service Products in the Market,                            the Distributor must use all commercially  reasonably                            efforts to purchase for sale to  subdistributors  the                            following minimum quantities of the Products from the                            Company:\n\n         On the  commencement of the Term  Distributor will issue to the Company an  irrevocable  letter of credit (\""LC\"") in the amount of Five Hundred  Thousand Dollars  ($500,000),  the form of which is  attached  hereto  as  Exhibit  A and incorporated  herein by reference."", ""A minimum of a $250,000.00  purchase  order  must be  received  by Company by the first of each month for a total (12) month  period."", ""(A)    375 units in the first Product Year (1999)\n\n                  (B)    750 units in the next succeeding Product Year; (2000)\n\n                  (C)    937 units in the next succeeding Product Year; (2001)\n\n                  (D)    1,171 units in the next succeeding Product Year; (2002)\n\n                  (E)    1,463 units in the next succeeding Product Year; (2003)\n\n                  (F)    1,828 units in the next succeeding Product Year; (2004)\n\n                  (G)    2,285 units in the next succeeding Product Year; (2005)\n\n                  (H)    2,856  unit each in the lat  three  years of                          the initial Term of this  Agreement  and any                          renewals thereof."", ""If the  Distributor  shall fail to purchase the minimum number of units in any year, the  Distributor's  exclusive rights to sell and distribute the Product in the Market,  may at Company's sole option, be reevaluated."", ""Company's representatives will                            make themselves available three days per month in the                            first   Product   Year  to  consult  with  and  train                            Distributor.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Most Favored Nation,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,No-Solicit Of Customers,1,2,"[44477, 44904]","[""Distributor further agrees that it will not interfere                            with or  otherwise  disrupt  the  business  relations                            between the Company or nay of its  affiliates and any                            of their current or prospective customers,  suppliers                            or distributors, during the"", ""Term of the  Agreement  and for a period of  eighteen\n\n\n\n\n\n                           (18) months thereafter,  nor will Distributor solicit                            any  customer  or  potential  customer  of Company to                            purchase a competitive product during that period.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,No-Solicit Of Employees,1,1,[43929],"[""During the Term of this Agreement and for a period of                            twelve (12) months  thereafter,  the  Distributor (on                            behalf of itself,  each of its affiliates and each of                            their respective representatives) agrees that it will                            not  directly  or  indirectly  solicit  or  hire  any                            executive,  managerial  or technical  employee of the                            Company or any of its affiliates.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Non-Compete,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Non-Disparagement,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Non-Transferable License,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Notice Period To Terminate Renewal,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Parties,1,5,"[148, 197, 212, 244, 49574]","[""Electric City Corp."", ""Company"", ""Electric City of Illinois LLC"", ""Distributor"", ""Electric City of Illinois L.L.C.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Post-Termination Services,1,4,"[34710, 35333, 36343, 36591]","[""Upon the expiration or termination of                   this  Agreement,  pursuant to Section  4.1 or 4.2 hereof,  the                   Company may, at its option to be  exercised  within 30 days of                   the date of the termination of this Agreement, and in its sole                   discretion,  repurchase  any Products in the possession of the                   Distributor  at the net invoice price paid by the  Distributor                   to  the  Company  less  any  applicable  special   allowances,                   discounts, shipping or allowances for cooperative advertising."", ""If Company  terminates  the  Agreement  without  cause and for                   reasons other than  Distributor's  failure to meet its minimum                   expectations;   it  shall   repurchase  from  Distributor  any                   unopened  Product,  and shall bear all shipping,  handling and                   related  costs  notwithstanding  any other  remedies  to which                   Distributor  may be  entitled."", ""Following  expiration or                   termination of this Agreement, the Distributor may continue to                   sell any Products in the Market which are in its inventory"", ""and which the Company has not repurchased.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Price Restrictions,1,2,"[16560, 17271]","[""The prices set forth in                            Section   2.4(a)  shall  be  subject  to   adjustment                            annually  on the  first  day  of  each  Product  Year                            beginning in the calendar  year 2000 and on the first                            day of each succeeding Product Year for the remainder                            of the Term and all  renewals  of this  Agreement  in                            proportion   to  the  increase  or  decrease  in  the                            Consumer  Price Index (CPI) as compared to the CPI as                            it  existed  on the  first  day of the  Term  of this                            Agreement."", ""The Company  also  reserves  the right to                            increase  or  decrease  the price  per unit  based on                            Company   wide   changes   in  unit   prices  to  all                            distributors of the Company,  provided however,  that                            any price changes, other than those based on the CPI,                            shall be uniformly applied to all distributors of the                            Products   and  shall   reasonably   applied  to  all                            distributors  of the  Products  and shall  reasonably                            reflect Company's costs of manufacturing the Products                            and/or  market  demand  for  the  Products,  provided                            further  than any increase in price based upon market                            demand   shall   not  be  so  great  as  to   deprive                            Distributor  of  its  normal  and  customary   profit                            margin.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Renewal Term,1,1,[5543],"[""If Distributor                            complies with all of the terms of this Agreement, the                            Agreement  shall be  renewable on an annual basis for                            one (1) year terms for up to  another  ten (10) years                            on the same terms and conditions as set forth herein.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Revenue/Profit Sharing,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Rofr/Rofo/Rofn,1,3,"[52212, 52566, 53010]","[""Should Company  introduce  other products or                   devices as contemplated by recital paragraph \""A\"",  Distributor                   shall  have  the  option  of  becoming   Company's   exclusive                   distributor  of such  other  Products  or  devices  within the                   Market."", ""Distributor  shall exercise its option to                   become  exclusive  Distributor of other Products or devices by                   serving  written  notification  on Company of its  election to                   become  exclusive  distributor  within  thirty  (30) days upon                   which  Company  informed  Distributor  in writing of Company's                   intention  to  introduce   other   Products  or  devices."", ""If                   Distributor  does not exercise its option as herein  provided,                   Company may  distribute  the other  Products or devices within                   the Market itself or through other distributors.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Source Code Escrow,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Termination For Convenience,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Third Party Beneficiary,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Uncapped Liability,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Unlimited/All-You-Can-Eat-License,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Volume Restriction,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Warranty Duration,1,8,"[20306, 20577, 20860, 25247, 25924, 27135, 35938, 36783]","[""If Company does not give Annual                            Notice  pursuant to Section  3.1 hereof,  Distributor                            may, within 90 days of  modification,  improvement or                            alteration,  return the Products to the Company."", ""The                            Company shall not have any obligation with respect to                            Products  after  365  days   following   delivery  to                            Distributor, except as provided herein."", ""In the event of any  damages or                            other  defect in a  Product  which is  discovered  by                            Distributor   within   365   days   of   satisfactory                            installation  of  a  Product  at  Distributor's  or a                            subdistributor's   customer,  the  Distributor  shall                            promptly   report  the  same  to  the   Company   and                            reasonably  demonstrate the defect to the Company."", ""Company  further  warrants that the                   Products sold hereunder  shall be free from defects in design,                   materials and  workmanship  for a period of  twenty-four  (24)                   months after delivery to Distributor's  end-user."", ""If, within the twenty-four  (24) month warranty                   period set forth above,  Company  received from Distributor or                   any of  Distributor's  end-user's  a notice  which may be oral                   notice  confirmed in writing)  that any of the  Products  sold                   hereunder do not meet the Warranties  specified above, Company                   shall  thereupon  correct  each such defect by  providing  the                   necessary repairs,  and/or replacement parts, or if necessary,                   Products."", ""In the event that Company is unable or unwilling to                   promptly  perform any warranty work without  reasonable  cause                   and following  full and fair  opportunity  to do so, or in the                   event of the necessity  for  emergency  repairs of a defective                   Product  for  which  there  is no  reasonable  possibility  of                   performance by Company,  Distributor may perform such warranty                   work or hire a third party to perform such  warranty  work and                   the reasonable cost thereof shall be paid by Company."", ""The Company reserves the                   right to reject any Products  that are not factory  sealed and                   in new and unused  condition."", ""The  Company  represents  that,  to the  best  of its                            knowledge,  Products are in compliance with all laws,                            and  that  the  Products  will  not be  hazardous  or                            dangerous  when  used  for  their  intended  purpose.                            Products  do not  cause  harmful  emissions  or other                            environmental  hazards and Products do not violate or                            infringe any patents, copyrights, trademarks or other                            rights  of  nay  third  party(ies).""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Affiliate License-Licensee,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Affiliate License-Licensor,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Agreement Date,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Anti-Assignment,1,1,[39279],"[""[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ].""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Audit Rights,1,1,[16936],"[""During the Term, and for a period of [ * ] thereafter, Google may audit Distributor's relevant records to confirm  Distributor's compliance with this Agreement.""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Cap On Liability,1,4,"[17834, 33707, 34289, 38237]","[""Notwithstanding anything to the contrary, in no event shall the [ * ] paid or payable to Distributor by Google pursuant to Clause 4.1  (Payments) exceed the [ * ]."", ""Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any:\n\n  (a) loss of anticipated savings;\n\n  (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue);\n\n  (c) loss of or corruption of data;\n\n  (d) loss or damage resulting from third party claims; or\n\n  (e) indirect or consequential losses;\n     suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this  Agreement)."", ""Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or  otherwise) arising in any Contract Year is limited to the greater of:\n\n  (a) [ * ] Euros ([ * ] Euros); and\n\n  (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms)."", ""The foregoing Clauses 10.1 to 10.5 states the parties' entire liability and exclusive remedy with respect to infringement of a third party's  Intellectual Property Rights.""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Change Of Control,1,4,"[21357, 21688, 22286, 39392]","[""[ * ] may terminate this Agreement immediately upon written notice if there is a Change of Control of [ * ]. In this  Clause the term \""Control\"" shall mean the possession by any person(s) directly or indirectly of the power to direct or cause the direction  of another person and \""Change of Control\"" is to be construed accordingly."", ""[ * ] expected to experience, or [ * ] is experiencing, such  Change of Control shall notify [ * ] in writing of this before or within [ * ] after the Change of Control."", ""For the avoidance of doubt, if following [ * ] there is a transfer of shareholding or interests in Distributor to any existing or new  shareholder(s) which results in any person or persons subsequently gaining Control of Distributor, then Google may exercise its right to  terminate in accordance with this clause 5.4."", ""For the  avoidance of doubt, a Change of Control shall be deemed an assignment hereunder unless [ * ] does not exercise its [ * ].""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Competitive Restriction Exception,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Covenant Not To Sue,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Document Name,1,1,[307],"[""Promotion and Distribution Agreement""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Effective Date,1,1,[430],"[""1 August 2011""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Exclusivity,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Expiration Date,1,2,"[7056, 20209]","[""\""Term\"" means the earlier of: (a) the end of the two year period from the Effective Date to 31 July 2013; or (b) the last day of the calendar month  within which the Maximum Distribution Commitment is reached."", ""This Agreement shall commence on the Effective Date and, unless earlier terminated as set out in this Agreement, shall continue  for the Term.""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Governing Law,1,1,[41315],"[""This Agreement is governed by English law and the parties submit to the exclusive jurisdiction of the English courts in  relation to any dispute (contractual or non-contractual) concerning this Agreement save that either party may apply to any court for an  injunction or other relief to protect its Intellectual Property Rights.""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Insurance,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Ip Ownership Assignment,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Irrevocable Or Perpetual License,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Joint Ip Ownership,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,License Grant,1,2,"[7736, 10677]","[""Subject to the terms and conditions of this Agreement, Google grants to Distributor a [* ] license during the  Term to: (a) bundle the Distribution Products, in machine-readable binary code format only, solely with Distributor App(s); (b) distribute  Bundles directly (or indirectly, subject to Clause 2.2 (Third Party Distribution)) to End Users in the Territory; (c) when indicated by the  applicable Criteria Checker and requested by the End User in accordance with clause 3.2 (Form of Distribution Offering), install the  Chrome Browser or the Google Toolbar (as applicable) on the End User's system using the Google Installers; and (d) reproduce (or have  reproduced by Third Party Distributors as defined in Clause 2.2 (Third Party Distribution)), the Distribution Products to the extent  necessary to exercise the rights granted in (a), (b) and (c)."", ""Subject to the terms and conditions of this Agreement, Google grants to Distributor a limited, [ * ] license  during the Term to use the Google Trademarks, in accordance with Google's trademark usage guidelines, solely to market and promote the  Products consistent with this Agreement, provided that all use of the Google Trademarks shall be subject to Google's prior review and  advance written consent.""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Liquidated Damages,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Minimum Commitment,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Most Favored Nation,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,No-Solicit Of Customers,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,No-Solicit Of Employees,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Non-Compete,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Non-Disparagement,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Non-Transferable License,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Notice Period To Terminate Renewal,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Parties,1,4,"[492, 625, 644, 644]","[""Whitesmoke Inc."", ""Distributor"", ""Google"", ""Google Inc""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Post-Termination Services,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Price Restrictions,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Renewal Term,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Revenue/Profit Sharing,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Rofr/Rofo/Rofn,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Source Code Escrow,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Termination For Convenience,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Third Party Beneficiary,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Uncapped Liability,1,5,"[32302, 33276, 33396, 33707, 34289]","[""Nothing in this Agreement shall exclude or limit either party's liability for:\n\n  (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees;\n\n  (b) fraud or fraudulent misrepresentation;"", ""(c) breach of any implied condition as to title or quiet enjoyment; and\n\n  (d) misuse of confidential information."", ""Nothing in this Agreement shall exclude or limit either party's liability under Clause 10 (Indemnities), or Distributor's liability under Clause  2 (License Grants and Restrictions), Clause 3.5 (Exclusivity), Clause 3.6 (End User License Agreement) and Clause 3.7 (Accurate  Reproduction) or Clause [ * ]."", ""Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any:\n\n  (a) loss of anticipated savings;\n\n  (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue);\n\n  (c) loss of or corruption of data;\n\n  (d) loss or damage resulting from third party claims; or\n\n  (e) indirect or consequential losses;\n     suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this  Agreement)."", ""Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or  otherwise) arising in any Contract Year is limited to the greater of:\n\n  (a) [ * ] Euros ([ * ] Euros); and\n\n  (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms).""]"
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Unlimited/All-You-Can-Eat-License,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Volume Restriction,0,0,[],[]
train,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0,Warranty Duration,1,1,[29560],"[""Google warrants that the Distribution Products will for a period of [ * ] from the date of their supply to Distributor be free from any defect  which has a materially adverse effect on their use or operation.""]"
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Affiliate License-Licensee,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Affiliate License-Licensor,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Agreement Date,1,1,[924],"[""March 27, 2020.""]"
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Anti-Assignment,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Audit Rights,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Cap On Liability,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Change Of Control,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Competitive Restriction Exception,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Covenant Not To Sue,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Document Name,1,1,[11],"[""JOINT FILING AGREEMENT""]"
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Effective Date,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Exclusivity,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Expiration Date,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Governing Law,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Insurance,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Ip Ownership Assignment,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Irrevocable Or Perpetual License,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Joint Ip Ownership,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,License Grant,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Liquidated Damages,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Minimum Commitment,0,0,[],[]
train,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,0,Most Favored Nation,0,0,[],[]
